"musicbrainz_recording_id","artist","track","album","musicbrainz_artist","final_tags"
"14fe62e9-37ed-4f2b-8382-c10942e17f10",Ariana Grande,NASA,"thank u, next",Ariana Grande,"[""blues-r&b-soul"", ""pop"", ""opera-musical-theater-soundtrack-vocal-a_cappella"", ""hip_hop-rap""]"
"159212e2-a605-4f74-aabf-b2a2edb6178d",Ariana Grande,goodnight n go,Sweetener,Ariana Grande,"[""pop"", ""blues-r&b-soul"", ""hip_hop-rap""]"
"15e2fda3-b76a-4d7d-94a9-a429d336352f",Radiohead,House of Cards,In Rainbows,Radiohead,"[""rock-metal-psychedelic""]"
"16c9e040-c6d3-4588-80f3-87de0714cb79",Pyotr Ilyich Tchaikovsky,Dance of the Reed Flutes,The Nutcracker Suite,Пётр Ильич Чайковский,"[""folk-classical-country-jazz""]"
cd63f16a-7b2d-45ba-8815-d1819aef8743,Tdf,Need Some More,CULTURE,tdf,"[""others""]"
"16f9118f-1e67-4127-a3df-e26b61a117a4",Beyoncé,ALL UP IN YOUR MIND,RENAISSANCE,Beyoncé,"[""pop"", ""hip_hop-rap"", ""blues-r&b-soul""]"
"17221b85-9b7e-4f88-8ce8-2651db51bfe9",Demi Lovato,Mistake,Unbroken,Demi Lovato,"[""pop"", ""opera-musical-theater-soundtrack-vocal-a_cappella""]"
fd9ccf19-f9e1-42f4-b95a-4d8cd73e6413,Justin Bieber,Die for You,Justice,Justin Bieber,"[""others""]"
"173c6ba9-afe5-4957-b58a-e1d054fbe3c7",Frank Ocean,Super Rich Kids,channel ORANGE,Frank Ocean,"[""blues-r&b-soul""]"
"1802661a-7f8f-4383-8a71-31550c0673dc",Dua Lipa,Cool,Future Nostalgia,Dua Lipa,"[""pop"", ""electronic-funk-disco-dance""]"
"18121d60-bc40-49a9-92c7-87babed045aa",Beyoncé,TYRANT,COWBOY CARTER,Beyoncé,"[""hip_hop-rap""]"
"18730ab6-a8c1-4916-ba46-7cf24253aa46",ONEWE,End of Spring,GRAVITY,ONEWE,"[""pop""]"
"1878d513-3436-4495-a88d-08225ce9bd06",Kendrick Lamar,Fear,DAMN.,Kendrick Lamar,"[""others""]"
"187e5fba-2877-4e42-a487-886b3218158e",Billy Joel,My Life,"52nd Street",Billy Joel,"[""pop"", ""rock-metal-psychedelic""]"
"1892f310-8713-47e5-b9a8-06f8d4021ca9",Travis Scott,YOSEMITE,ASTROWORLD,Travis Scott,"[""hip_hop-rap""]"
"18a64e4e-a3f9-4cdc-911c-2173ef5a9a8b",Chris Stapleton,Whiskey and You,Traveller,Chris Stapleton,"[""folk-classical-country-jazz""]"
"18b8db96-0f05-4937-aeaa-d780a1f95835",Lana Del Rey,Blue Jeans,Born to Die,Lana Del Rey,"[""opera-musical-theater-soundtrack-vocal-a_cappella"", ""pop"", ""blues-r&b-soul""]"
"18cd5ec3-19ff-42ac-91e6-240082877e6d",Dr. Dre,Xxplosive,"2001",Dr. Dre,"[""hip_hop-rap""]"
"1906584d-d18c-4818-ad57-aad41e2c5386",Harry Styles,Golden,Fine Line,Harry Styles,"[""pop"", ""rock-metal-psychedelic""]"
"19227a56-9974-462b-bc2d-ae1abc68289b",Dua Lipa,End of an Era,Radical Optimism,Dua Lipa,"[""pop"", ""blues-r&b-soul"", ""opera-musical-theater-soundtrack-vocal-a_cappella""]"
"196a9bc5-6468-455e-a602-00f923b34198",Harry Styles,Grapejuice,Harry’s House,Harry Styles,"[""pop"", ""rock-metal-psychedelic""]"
"1a1519e4-8184-4015-91de-28c767b7f523",Rihanna,Work,Anti,Rihanna,"[""electronic-funk-disco-dance"", ""blues-r&b-soul""]"
d3415d1b-b5db-4f3b-ae98-89eda0901896,Miley Cyrus,Muddy Feet,Endless Summer Vacation,Miley Cyrus,"[""others""]"
"380f29ee-3df8-4fc9-9cd7-b2688f118261",Peter Cat Recording Co.,Soulless Friends,Bismillah,Peter Cat Recording Co.,"[""others""]"
b7b3dde7-c246-4add-9300-f6e25b1365cf,Peter Cat Recording Co.,Memory Box,Bismillah,Peter Cat Recording Co.,"[""others""]"
"535d2adf-dff8-4494-83c9-01869e536268",ONEWE,TRAUMA,GRAVITY,ONEWE,"[""others""]"
"1a6f3d0e-ebaa-44c8-b450-2009e09b97a4",Madison Beer,Envy the Leaves,Silence Between Songs,Madison Beer,"[""pop""]"
"1a9d7149-39ff-4393-814c-6e4f4eaa1175",Beyoncé,THIQUE,RENAISSANCE,Beyoncé,"[""electronic-funk-disco-dance"", ""hip_hop-rap""]"
"1aa650a8-4f6e-4235-b75a-8708e4f0981b",Kacey Musgraves,I Miss You,Same Trailer Different Park,Kacey Musgraves,"[""folk-classical-country-jazz"", ""opera-musical-theater-soundtrack-vocal-a_cappella""]"
"1b85a6a7-0175-4bf1-ba75-9dc7f5505689",Sabrina Carpenter,prfct,Singular Act I,Sabrina Carpenter,"[""hip_hop-rap"", ""blues-r&b-soul""]"
"1b8b35e2-bad3-48b0-96df-f0bd5d081a70","50 Cent",Piggy Bank,The Massacre,"50 Cent","[""hip_hop-rap""]"
"1bb3c6e4-9c45-49d8-a8d8-510a60c2ccaa",Ariana Grande,better off,Sweetener,Ariana Grande,"[""blues-r&b-soul"", ""opera-musical-theater-soundtrack-vocal-a_cappella"", ""pop"", ""hip_hop-rap""]"
"1bc18d29-a398-45a1-a33e-7a61d83fbe28",Ariana Grande,safety net,Positions,Ariana Grande,"[""hip_hop-rap"", ""blues-r&b-soul""]"
"1c268e92-924e-4481-8c1f-c5885f0f695d",Demi Lovato,Wildfire,Confident,Demi Lovato,"[""pop"", ""blues-r&b-soul""]"
"1c27df20-c5f9-4c82-a155-8eac7298edab",Lady Gaga,Chromatica III,Chromatica,Lady Gaga,"[""folk-classical-country-jazz"", ""opera-musical-theater-soundtrack-vocal-a_cappella""]"
"1c7bd86b-b9b7-46d7-8335-bc4144a37ba3",Camila Cabello,In the Dark,Camila,Camila Cabello,"[""pop"", ""blues-r&b-soul""]"
"656f3b5d-0610-460a-be8f-ae03cc00a8e6",Miley Cyrus,Edge of Midnight (Midnight Sky Remix),Plastic Hearts,Miley Cyrus,"[""others""]"
"1c8e1f61-6593-4ce4-a9da-13f0978d8260",AC/DC,Get It Hot,Highway to Hell,AC/DC,"[""rock-metal-psychedelic""]"
"1ca6701d-aa25-4aac-8b11-bc1afc48fb33",Maroon 5,Not Coming Home,Songs About Jane,Maroon 5,"[""rock-metal-psychedelic"", ""pop""]"
"1cb2d6e8-22dc-44f1-b82a-bfe82f18cfde",Frank Ocean,Skyline To,Blonde,Frank Ocean,"[""pop"", ""blues-r&b-soul"", ""electronic-funk-disco-dance""]"
"1cdd7971-c330-4222-9999-623b58638ff5",Maroon 5,Beautiful Goodbye,Overexposed,Maroon 5,"[""pop"", ""rock-metal-psychedelic""]"
"7e715db5-ee37-490e-b33b-897fa4bf3d39",Kanye West,Lil Jimmy Skit,The College Dropout,Ye,"[""hip_hop-rap""]"
"1d02db34-268e-463f-b029-51b485ba3b68",The Beatles,P.S. I Love You,Please Please Me,The Beatles,"[""rock-metal-psychedelic"", ""pop""]"
"1d1b8996-4848-4c31-9247-dd9d6ca1c3dd",Harry Styles,Lights Up,Fine Line,Harry Styles,"[""pop"", ""rock-metal-psychedelic"", ""blues-r&b-soul""]"
"1dcddf66-8eca-4161-9827-54d1e701d6ce",Shawn Mendes,Queen,Shawn Mendes,Shawn Mendes,"[""others""]"
"1e01a716-13f3-423a-9085-4bfebb0f6465",Maroon 5,Love Somebody,Overexposed,Maroon 5,"[""pop"", ""rock-metal-psychedelic""]"
daeb917b-014c-44b2-bacf-e733320a3e54,Kendrick Lamar,Love,DAMN.,Kendrick Lamar,"[""others""]"
"1e4a1a44-0c60-4333-bcac-f1527c30a559",Kanye West,Drive Slow,Late Registration,Ye,"[""hip_hop-rap"", ""blues-r&b-soul""]"
"1e4dd7b4-67e4-4301-9a18-56e6f724c782",Madison Beer,I Wonder,Silence Between Songs,Madison Beer,"[""pop""]"
"1e534f7d-e48e-43c9-9620-d0e5d6849f8a",Justin Bieber,No Pressure,Purpose,Justin Bieber,"[""hip_hop-rap"", ""pop"", ""blues-r&b-soul""]"
"3efa0e80-b0ed-460e-a423-6e0f525b9a80",Justin Bieber,Running Over,Changes,Justin Bieber,"[""others""]"
"1e79f696-1018-4cc5-b89d-2e9a03652ab0",Dr. Dre,Lyrical Gangbang,The Chronic,Dr. Dre,"[""hip_hop-rap""]"
"1ee21f1d-3b1a-4ffa-8f33-24c01e77455a",SZA,Drew Barrymore,Ctrl,SZA,"[""blues-r&b-soul"", ""rock-metal-psychedelic""]"
"1ef1471c-93f3-47c6-aa34-25e51c930d22",Rihanna,James Joint,Anti,Rihanna,"[""blues-r&b-soul"", ""opera-musical-theater-soundtrack-vocal-a_cappella""]"
"1f08f3e6-a981-44b1-8dcb-43f67098819c",Miley Cyrus,You,Endless Summer Vacation,Miley Cyrus,"[""pop"", ""rock-metal-psychedelic"", ""electronic-funk-disco-dance""]"
"08011b80-6485-4861-b153-7f3f7634bf08",One Direction,Where Do Broken Hearts Go,FOUR,One Direction,"[""pop""]"
"1f760fba-f3f5-492e-9d2e-eb59d83dc7cd",Taylor Swift,Hey Stephen,Fearless,Taylor Swift,"[""folk-classical-country-jazz"", ""opera-musical-theater-soundtrack-vocal-a_cappella"", ""pop""]"
"1fbedf3f-7173-4590-b2bd-4453fc1d814c","50 Cent",God Gave Me Style,The Massacre,"50 Cent","[""hip_hop-rap""]"
"1fd54288-3141-4ff9-910a-5057b36712da",Kacey Musgraves,Merry Go 'Round,Same Trailer Different Park,Kacey Musgraves,"[""folk-classical-country-jazz"", ""pop"", ""opera-musical-theater-soundtrack-vocal-a_cappella""]"
"2019b3ce-8b3e-4512-a876-d4b5bd163984",Taylor Swift,Red,Red,Taylor Swift,"[""folk-classical-country-jazz"", ""pop"", ""opera-musical-theater-soundtrack-vocal-a_cappella""]"
"218d5999-9efb-49ac-99da-ea1bc2eba8d4",Kanye West,Gone,Late Registration,Ye,"[""hip_hop-rap""]"
"21d7b206-91a2-4bb4-8fd6-409084364369",Demi Lovato,Give Your Heart a Break,Unbroken,Demi Lovato,"[""pop"", ""opera-musical-theater-soundtrack-vocal-a_cappella""]"
"21d8826e-3dc1-4f56-b3a7-036de07ceed4",Chris Stapleton,Maggie's Song,Starting Over,Chris Stapleton,"[""folk-classical-country-jazz""]"
"02159dd4-018a-4264-acca-19d2edc233d2",Beyoncé,SWEET ★ HONEY ★ BUCKIIN',COWBOY CARTER,Beyoncé,"[""folk-classical-country-jazz"", ""pop""]"
"025a4d55-4ba8-4943-9269-6c05bf035328",Kendrick Lamar,King Kunta,To Pimp a Butterfly,Kendrick Lamar,"[""hip_hop-rap""]"
"2b5791a6-8f6a-4000-839d-4299d77bea31",Dr. Dre,Forgot About Dre,"2001",Dr. Dre,"[""hip_hop-rap""]"
"22201fe6-1c33-43ba-ae8b-0da31ffa9213",Beyoncé,DESERT EAGLE,COWBOY CARTER,Beyoncé,"[""folk-classical-country-jazz"", ""electronic-funk-disco-dance"", ""blues-r&b-soul""]"
"22b7c3ba-e1e4-40ef-bb46-ef52979cec5a",Madison Beer,Stained Glass,Life Support,Madison Beer,"[""pop"", ""opera-musical-theater-soundtrack-vocal-a_cappella"", ""electronic-funk-disco-dance"", ""rock-metal-psychedelic""]"
"235fe8f2-ea2f-4e4e-ab32-03be815452f9",AC/DC,Shake a Leg,Back in Black,AC/DC,"[""rock-metal-psychedelic""]"
"23893d22-c201-49d8-a262-022f163bb42a",Justin Bieber,Changes,Changes,Justin Bieber,"[""blues-r&b-soul""]"
"239bc79d-564c-48a9-8bb9-68acb2dbcb99",One Direction,Long Way Down,Made in the A.M.,One Direction,"[""opera-musical-theater-soundtrack-vocal-a_cappella""]"
"239be118-8f35-448e-8ae5-df417b1b64e7",Taylor Swift,the last great american dynasty,folklore,Taylor Swift,"[""pop"", ""folk-classical-country-jazz""]"
"23f60f02-48b4-49ab-9e40-4305851964df",Ariana Grande,successful,Sweetener,Ariana Grande,"[""blues-r&b-soul"", ""pop"", ""hip_hop-rap"", ""opera-musical-theater-soundtrack-vocal-a_cappella""]"
"02c531af-a082-44c3-9115-a1a9cc5dff17",Ariana Grande,Be Alright,Dangerous Woman,Ariana Grande,"[""pop"", ""electronic-funk-disco-dance"", ""opera-musical-theater-soundtrack-vocal-a_cappella""]"
"2421ac91-d401-4c69-9a4c-feca38b95d71",Dr. Dre,The Doctor's Office,The Chronic,Dr. Dre,"[""hip_hop-rap""]"
"242d99f7-5b74-44db-928e-94ccc14845a4",Billy Joel,Just the Way You Are,The Stranger,Billy Joel,"[""pop"", ""rock-metal-psychedelic""]"
"24431176-d846-4b6a-a444-d4937eb57154",Lady Gaga,Perfect Celebrity,MAYHEM,Lady Gaga,"[""pop"", ""rock-metal-psychedelic"", ""electronic-funk-disco-dance""]"
"245b5530-c62f-433f-8d68-3019aec6546b",Dua Lipa,Don't Start Now,Future Nostalgia,Dua Lipa,"[""pop"", ""electronic-funk-disco-dance""]"
"2d8c1ca8-9c61-413b-93c5-1a3848f5306a",Maroon 5,Must Get Out,Songs About Jane,Maroon 5,"[""rock-metal-psychedelic"", ""pop""]"
"246ac34a-9108-426f-9691-3524c5ebba4a",Demi Lovato,Unbroken,Unbroken,Demi Lovato,"[""pop"", ""electronic-funk-disco-dance""]"
"246b8196-bcd9-4bb3-9bfb-ee52e3bc0dbf",Kacey Musgraves,My House,Same Trailer Different Park,Kacey Musgraves,"[""folk-classical-country-jazz"", ""opera-musical-theater-soundtrack-vocal-a_cappella""]"
"2540e227-d5cd-492c-a66b-8b31b01f8c73",Ariana Grande,sweetener,Sweetener,Ariana Grande,"[""blues-r&b-soul"", ""hip_hop-rap"", ""pop""]"
"26290d76-ba05-4f65-acc8-6d08615f0489",Taylor Swift,The Best Day,Fearless,Taylor Swift,"[""folk-classical-country-jazz"", ""opera-musical-theater-soundtrack-vocal-a_cappella"", ""pop""]"
"26b14fbc-8c89-4d15-ab44-fbb656cfc29f",Taylor Swift,The Way I Loved You,Fearless,Taylor Swift,"[""folk-classical-country-jazz"", ""pop"", ""opera-musical-theater-soundtrack-vocal-a_cappella""]"
"271ffacb-06a5-461b-b605-27f4c8fb208b",Taylor Swift,We Are Never Ever Getting Back Together,Red,Taylor Swift,"[""pop"", ""folk-classical-country-jazz""]"
"27659585-8b8a-4720-abb8-1b59826552e6",Dr. Dre,The Chronic (Intro),The Chronic,Dr. Dre,"[""hip_hop-rap""]"
"279880e4-b5d8-43e1-88f3-3bf1ed6027f9",Lady Gaga,Sour Candy,Chromatica,Lady Gaga,"[""electronic-funk-disco-dance"", ""pop""]"
"27ceae9a-4b12-4c72-96e0-f1d7e7fd3714",Radiohead,All I Need,In Rainbows,Radiohead,"[""rock-metal-psychedelic""]"
"280f3661-cdb9-4dbe-9bd2-9a008b84f145","50 Cent",If I Can't,Get Rich or Die Tryin’,"50 Cent","[""hip_hop-rap""]"
"30040ba9-feac-4ce8-bc6f-019734ff1bb7",Kanye West,All Falls Down,The College Dropout,Ye,"[""hip_hop-rap""]"
d9c4edd8-27c9-4d24-88dc-cc777f531563,Miley Cyrus,Thousand Miles,Endless Summer Vacation,Miley Cyrus,"[""others""]"
"28a1ff2e-a126-4858-a95f-4e73b817c1cb",Frank Ocean,Lost,channel ORANGE,Frank Ocean,"[""blues-r&b-soul"", ""hip_hop-rap""]"
"29637996-3944-4469-8f84-79ab851576f1",Kacey Musgraves,Happy & Sad,Golden Hour,Kacey Musgraves,"[""pop"", ""folk-classical-country-jazz"", ""rock-metal-psychedelic""]"
"2a1f8028-6d5e-45a5-b821-42a45a2fa6b1",Taylor Swift,Bejeweled,Midnights,Taylor Swift,"[""others""]"
"2ad32cf1-96c5-4db2-bfe9-826a86ce8329",The Beatles,Sgt. Pepper's Lonely Hearts Club Band,Sgt. Pepper's Lonely Hearts Club Band,The Beatles,"[""rock-metal-psychedelic""]"
"0a62410e-efe8-4370-a4e5-e325a54fae16",Beyoncé,THE LINDA MARTELL SHOW,COWBOY CARTER,Beyoncé,"[""others""]"
"2b61c476-6f2b-44b9-8eee-cb3f53c826ff",One Direction,I Want to Write You a Song,Made in the A.M.,One Direction,"[""folk-classical-country-jazz"", ""pop""]"
"2bbd29fa-b951-4e78-9e24-85918142f1f1",ONEWE,Montage_,GRAVITY,ONEWE,"[""rock-metal-psychedelic"", ""pop""]"
"2bfc39fb-c9a8-403a-8513-42980a1b1777",Ariana Grande,Saturn Returns Interlude,eternal sunshine,Ariana Grande,"[""pop""]"
"2c0a0a30-e749-4e78-b3c9-f1e9083d170f",Shawn Mendes,Mutual,Shawn Mendes,Shawn Mendes,"[""others""]"
"2c87a473-7e69-4322-8770-39e024c88f91",Taylor Swift,invisible string,folklore,Taylor Swift,"[""folk-classical-country-jazz"", ""pop""]"
"2c9b2882-7418-40cb-a768-4aebb319750c",Kacey Musgraves,there is a light,star-crossed,Kacey Musgraves,"[""pop""]"
"2cdb088f-6c49-421c-9b81-4dc1f847a41d","50 Cent",Patiently Waiting,Get Rich or Die Tryin’,"50 Cent","[""hip_hop-rap""]"
"2cee6992-6bd2-44fa-9b8b-7a372ad4bcd9",Pyotr Ilyich Tchaikovsky,Arabian Dance,The Nutcracker Suite,Пётр Ильич Чайковский,"[""folk-classical-country-jazz"", ""opera-musical-theater-soundtrack-vocal-a_cappella""]"
"2d0975f6-6833-40af-a47f-d9ac9dbb5536",Travis Scott,SKITZO,UTOPIA,Travis Scott,"[""hip_hop-rap""]"
cca427f2-0a1b-41a5-ae84-a0078ac7a19f,ONEWE,GRAVITY,GRAVITY,ONEWE,"[""pop""]"
"2d329a5b-e471-450f-9ab1-6526dcb70bdd",Luke Bryan,Kick the Dust Up,Kill the Lights,Luke Bryan,"[""folk-classical-country-jazz""]"
"2df4ff22-a494-4d96-920f-cd84cb40df9e",Beyoncé,DOLLY P,COWBOY CARTER,Beyoncé,"[""others""]"
"2e8f9c02-ebc6-4098-84cb-224d46e46ef8",Luke Bryan,Way Way Back,Kill the Lights,Luke Bryan,"[""folk-classical-country-jazz""]"
"2e9ff3e6-9c69-4675-a249-abcf05241811",Ariana Grande,fake smile,"thank u, next",Ariana Grande,"[""blues-r&b-soul"", ""hip_hop-rap"", ""pop""]"
"2eb31ac7-885c-486e-9de0-15b790ae784d",Madison Beer,Silence Between Songs,Silence Between Songs,Madison Beer,"[""others""]"
"2ee37619-a388-440e-a83c-ca200462cfc2",Shawn Mendes,Particular Taste,Shawn Mendes,Shawn Mendes,"[""others""]"
"2f26c5bb-72cd-45b4-85b4-67806e441593",AC/DC,Have a Drink on Me,Back in Black,AC/DC,"[""rock-metal-psychedelic""]"
"2f3b06db-e7c4-4409-a807-499efe7b7d0d",Frank Ocean,Pink + White,Blonde,Frank Ocean,"[""blues-r&b-soul""]"
"2f4c47f4-4ebd-4735-b353-389aeae67a7b","50 Cent",High All The Time,Get Rich or Die Tryin’,"50 Cent","[""hip_hop-rap""]"
ffbd306a-10be-4ef7-baaf-11c8614f4c9e,Miley Cyrus,Angels Like You,Plastic Hearts,Miley Cyrus,"[""rock-metal-psychedelic"", ""pop""]"
"09425f33-5824-4aed-bea8-f3c84bd4ed31",Peter Cat Recording Co.,Freezing,Bismillah,Peter Cat Recording Co.,"[""others""]"
"2f56fa90-87d6-4851-9724-22a5cfacb7ba",Kendrick Lamar,The Blacker the Berry,To Pimp a Butterfly,Kendrick Lamar,"[""hip_hop-rap""]"
"2f821f9a-ab1f-436d-ae27-99f31615fdbf",Chris Stapleton,When the Stars Come Out,Traveller,Chris Stapleton,"[""folk-classical-country-jazz""]"
